,B01003_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B01001I_001E,B09020_001E,B15003_002E,B15003_017E,B15003_022E,B15003_023E,B15003_025E,B17001_002E,B27001_002E,B27001_030E,NAME,state,place
788,652,0,0,0,0,0,0,0,0,0,0,0,0,590,19,2,41,0,0,0,0,0,20,20,56,0,20,283,264,"Moose Creek CDP, Alaska",02,50080
789,282,0,0,17,0,0,0,0,0,16,0,0,0,215,0,0,0,0,0,44,33,0,70,19,0,0,57,141,141,"Moose Pass CDP, Alaska",02,50190
790,239,25,12,32,0,0,0,17,0,15,0,0,0,217,0,0,0,0,0,0,101,0,117,0,0,0,25,155,84,"Mosquito Lake CDP, Alaska",02,50800
791,820,2,4,0,1,0,0,2,2,11,3,4,0,64,28,695,0,0,0,59,29,3,203,32,7,2,311,467,353,"Mountain Village city, Alaska",02,51180
792,121,0,10,0,16,0,0,0,0,0,13,0,0,111,0,0,0,0,0,0,39,0,13,55,28,0,0,59,62,"Mud Bay CDP, Alaska",02,51455
793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nabesna CDP, Alaska",02,51960
794,509,3,5,11,8,8,2,3,3,3,6,0,2,227,0,202,9,3,7,15,54,0,111,61,14,0,29,292,217,"Naknek CDP, Alaska",02,52060
795,231,0,0,0,1,0,0,1,1,0,0,1,0,16,0,172,1,5,0,3,4,0,49,7,4,0,97,113,118,"Nanwalek CDP, Alaska",02,52210
796,371,2,0,2,6,0,0,0,0,16,0,4,4,6,0,356,1,0,0,0,34,0,84,1,0,0,139,183,188,"Napakiak city, Alaska",02,52390
797,377,0,2,6,1,0,0,3,4,6,3,2,2,14,0,360,0,0,0,0,29,2,71,0,2,0,137,188,189,"Napaskiak city, Alaska",02,52720
798,62,14,0,13,0,0,0,0,0,0,0,0,0,54,0,8,0,0,0,0,27,0,38,0,0,0,24,51,11,"Naukati Bay CDP, Alaska",02,52845
799,125,0,7,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,7,0,41,0,0,0,33,69,56,"Nelchina CDP, Alaska",02,52915
800,54,3,3,0,0,0,0,0,0,0,3,0,0,12,0,42,0,0,0,7,9,0,20,0,0,0,0,34,20,"Nelson Lagoon CDP, Alaska",02,52940
801,368,4,17,5,9,5,4,6,8,5,2,6,4,176,0,141,0,0,0,3,75,2,62,28,9,0,59,187,181,"Nenana city, Alaska",02,53050
802,114,0,1,0,0,0,0,0,0,0,2,0,0,11,0,94,0,0,0,8,3,1,27,6,4,0,20,61,53,"Newhalen city, Alaska",02,53270
803,566,5,4,6,2,3,0,2,5,11,4,2,0,2,0,551,0,0,0,0,44,4,131,7,1,0,135,329,237,"New Stuyahok city, Alaska",02,53710
804,372,3,5,10,7,0,0,2,2,8,3,2,0,3,0,367,0,2,0,0,42,4,89,4,3,0,135,206,166,"Newtok CDP, Alaska",02,53820
805,212,1,0,3,2,0,0,0,2,2,0,4,6,0,0,212,0,0,0,0,20,6,57,2,0,0,65,102,110,"Nightmute city, Alaska",02,53930
806,4728,75,73,103,103,40,21,80,43,91,79,27,88,3953,17,413,15,0,20,126,823,34,1140,333,126,0,620,2653,2062,"Nikiski CDP, Alaska",02,54050
807,279,4,9,3,0,0,0,0,6,3,0,0,0,266,0,0,0,0,3,3,25,11,70,36,6,0,29,136,143,"Nikolaevsk CDP, Alaska",02,54085
808,123,1,2,2,3,1,0,3,0,2,2,1,0,11,0,102,0,0,3,3,17,0,33,1,0,0,25,80,43,"Nikolai city, Alaska",02,54150
809,25,0,1,2,2,0,0,0,0,0,2,0,0,6,0,12,2,0,0,0,7,0,12,2,0,0,7,13,12,"Nikolski CDP, Alaska",02,54260
810,741,25,13,23,30,9,12,11,21,27,20,2,2,582,0,77,2,0,0,43,195,0,151,91,36,3,73,430,311,"Ninilchik CDP, Alaska",02,54480
811,424,5,0,2,3,4,2,1,0,1,2,5,2,4,2,411,0,0,0,0,27,0,139,0,2,0,122,231,193,"Noatak CDP, Alaska",02,54700
812,3793,26,26,66,19,3,7,23,20,53,21,13,4,1182,72,1916,41,29,10,221,281,0,649,376,89,12,422,1788,1828,"Nome city, Alaska",02,54920
813,110,0,0,0,0,0,1,0,2,0,0,0,4,15,0,81,0,1,2,0,7,4,22,2,5,0,32,53,57,"Nondalton city, Alaska",02,55030
814,579,1,3,4,3,3,0,2,0,1,3,5,5,28,0,543,0,0,0,0,30,0,127,24,2,0,186,332,247,"Noorvik city, Alaska",02,55140
815,2319,17,31,14,0,14,0,14,16,50,20,0,12,1828,198,67,97,0,6,24,188,0,291,176,117,8,197,1003,1131,"North Pole city, Alaska",02,55910
816,135,1,0,0,1,1,0,0,2,1,0,1,0,27,0,108,0,0,0,0,7,0,25,16,2,0,45,64,71,"Northway CDP, Alaska",02,56220
817,38,0,0,1,1,0,0,0,1,0,1,0,0,9,0,22,0,0,0,0,4,0,9,1,0,0,15,27,11,"Northway Junction CDP, Alaska",02,56250
818,70,2,2,3,2,1,4,0,1,4,0,0,2,2,0,68,0,0,0,0,21,6,27,0,0,0,45,48,22,"Northway Village CDP, Alaska",02,56260
819,395,1,2,1,1,0,0,3,3,2,2,5,0,31,0,348,0,5,0,0,20,0,78,4,4,1,36,204,191,"Nuiqsut city, Alaska",02,56320
820,276,0,4,2,4,0,5,0,1,2,4,6,5,8,0,256,0,0,0,0,33,0,62,10,10,0,86,143,133,"Nulato city, Alaska",02,56350
821,134,0,4,0,0,0,0,2,0,2,0,4,1,7,0,125,2,0,0,0,13,0,14,0,0,0,50,68,66,"Nunam Iqua city, Alaska",02,56600
822,726,1,0,6,6,0,0,4,0,3,9,0,0,0,0,705,0,0,0,0,29,2,128,6,0,0,362,363,363,"Nunapitchuk city, Alaska",02,56680
823,290,2,0,3,2,0,0,2,7,8,5,0,0,33,3,194,0,18,0,6,29,0,26,10,7,0,63,129,161,"Old Harbor city, Alaska",02,57340
824,36,0,0,0,1,0,1,1,0,0,0,2,0,9,0,27,0,0,0,0,5,3,2,0,3,0,11,17,19,"Oscarville CDP, Alaska",02,58330
825,171,7,0,3,3,0,0,2,0,2,2,2,0,21,0,121,0,9,0,0,21,0,30,2,0,0,25,81,90,"Ouzinkie city, Alaska",02,58550
826,6773,75,68,61,39,28,18,49,80,106,41,71,37,5149,219,472,93,33,71,365,673,27,1033,575,199,40,820,3277,3278,"Palmer city, Alaska",02,58660
827,10,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,10,0,"Paxson CDP, Alaska",02,59320
828,18,0,0,1,0,0,0,0,2,0,0,0,0,3,0,9,0,0,0,0,3,0,7,2,0,0,0,10,8,"Pedro Bay CDP, Alaska",02,59540
829,73,2,0,0,0,0,0,0,0,0,0,7,0,33,0,34,0,0,0,0,9,0,15,14,0,0,6,32,41,"Pelican city, Alaska",02,59650
830,98,2,0,0,0,0,0,0,0,3,0,0,3,1,0,97,0,0,0,0,8,0,29,0,1,0,37,52,46,"Perryville CDP, Alaska",02,60200
831,3087,41,48,51,37,20,19,28,48,89,26,13,42,2335,19,219,210,36,15,346,462,0,547,405,128,3,244,1606,1469,"Petersburg CDP, Alaska",02,60310
832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Petersville CDP, Alaska",02,60460
833,58,0,1,1,2,0,0,0,2,0,2,0,0,15,0,37,0,0,0,0,8,0,8,0,1,0,12,29,29,"Pilot Point city, Alaska",02,60640
834,636,2,1,1,1,0,1,0,5,2,6,2,2,3,0,624,1,0,0,0,23,2,145,10,0,0,304,322,314,"Pilot Station city, Alaska",02,60750
835,125,0,2,1,0,0,0,0,2,0,0,0,0,0,0,125,0,0,0,0,5,0,29,1,0,0,36,53,72,"Pitkas Point CDP, Alaska",02,60860
836,15,0,2,3,0,1,0,0,0,3,0,0,0,0,0,15,0,0,0,0,9,0,1,0,0,0,1,10,5,"Platinum city, Alaska",02,61080
837,360,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,20,0,0,0,20,188,172,"Pleasant Valley CDP, Alaska",02,61120
838,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,9,0,0,0,22,9,13,"Point Baker CDP, Alaska",02,61190
839,629,4,8,1,1,2,2,2,1,10,0,4,5,27,1,531,9,0,0,38,40,0,138,6,4,0,126,341,288,"Point Hope city, Alaska",02,61630
840,273,1,0,0,0,0,0,0,0,4,0,0,0,16,0,209,0,4,0,13,5,0,34,4,0,0,55,161,112,"Point Lay CDP, Alaska",02,61700
841,727,0,6,0,0,0,5,0,5,0,0,0,0,438,16,51,0,0,1,21,16,0,141,5,5,0,12,184,138,"Point MacKenzie CDP, Alaska",02,61788
842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Point Possession CDP, Alaska",02,61825
843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pope-Vannoy Landing CDP, Alaska",02,62125
844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Portage Creek CDP, Alaska",02,62285
845,60,5,0,3,0,0,0,3,0,0,3,0,0,53,0,0,0,0,0,0,14,0,13,10,0,0,0,35,25,"Port Alexander city, Alaska",02,62510
846,157,1,2,2,0,0,0,0,2,0,0,0,0,108,1,16,0,0,0,0,7,0,17,30,6,0,5,69,88,"Port Alsworth CDP, Alaska",02,62620
847,43,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Port Clarence CDP, Alaska",02,63170
848,189,2,0,4,1,0,0,1,0,2,1,0,4,22,1,151,0,0,0,3,15,0,54,6,7,0,47,107,82,"Port Graham CDP, Alaska",02,63280
849,60,0,2,0,0,0,0,0,0,1,2,0,0,16,0,40,0,0,0,0,5,0,15,2,0,0,0,37,23,"Port Heiden city, Alaska",02,63390
850,214,5,7,10,3,2,3,1,6,4,5,2,0,57,2,141,0,0,0,6,48,2,47,10,4,0,50,100,112,"Port Lions city, Alaska",02,63610
851,37,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,9,9,0,10,27,19,18,"Port Protection CDP, Alaska",02,63870
852,160,0,0,0,4,0,0,6,21,0,3,0,0,116,0,0,0,0,0,0,34,0,57,9,4,0,6,80,80,"Primrose CDP, Alaska",02,64240
853,2094,27,14,26,10,0,0,8,3,5,0,0,0,1736,29,167,48,5,42,63,93,0,720,296,70,0,16,1691,398,"Prudhoe Bay CDP, Alaska",02,64380
854,763,6,10,2,6,2,3,5,8,7,0,6,2,90,0,667,2,0,0,0,57,2,131,69,2,0,229,383,380,"Quinhagak city, Alaska",02,64600
855,36,0,0,2,0,0,0,0,1,0,0,2,0,0,0,34,0,0,0,11,5,0,6,0,0,0,0,11,25,"Rampart CDP, Alaska",02,64820
856,21,1,0,2,0,0,0,0,3,0,1,0,0,8,0,9,0,0,0,0,7,0,5,0,0,0,0,7,14,"Red Devil CDP, Alaska",02,64930
857,79,0,0,0,0,0,0,0,0,0,0,0,0,32,15,0,17,0,15,15,0,0,0,0,0,0,0,62,17,"Red Dog Mine CDP, Alaska",02,64980
