State,City,PlaceFIPS,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
MI,Dearborn,2621000,16.3,29.8,19.4,32.3,56.5,6.8,11.3,7.3,67.2,74.6,64.1,9.6,34.9,30.9,25.8,63.8,9.5,36.8,3.2,25.6,79.4,14.6,31.2,78.4,14.0,38.8,3.2,14.8
MI,Detroit,2622000,25.5,33.9,13.5,46.3,64.5,5.9,13.9,8.4,74.5,74.2,58.6,10.8,24.5,21.2,29.8,47.2,17.6,36.6,4.6,36.4,81.8,17.2,45.2,78.0,18.3,50.8,5.8,25.6
MI,Farmington Hills,2627440,9.0,24.9,19.8,28.7,57.8,6.6,9.4,5.3,72.2,79.9,71.6,5.2,35.1,37.5,14.2,76.4,7.9,32.9,2.8,18.1,82.5,9.6,26.4,85.8,8.7,35.6,2.3,8.8
MI,Flint,2629000,23.3,35.8,14.8,42.9,62.7,6.0,13.3,8.4,72.8,72.4,59.8,11.4,27.0,24.1,28.5,52.4,15.8,34.8,4.1,36.4,80.1,17.4,42.7,78.0,18.7,44.0,5.2,25.2
MI,Grand Rapids,2634000,17.5,28.7,18.9,35.9,60.1,6.4,11.0,6.8,71.4,74.6,66.5,7.9,35.5,38.5,20.5,64.5,11.0,35.0,3.3,27.0,81.9,13.5,35.1,81.5,13.9,35.8,3.3,13.7
MI,Kalamazoo,2642160,17.3,31.4,17.7,34.7,60.8,6.5,11.7,7.3,70.7,72.1,66.4,9.0,35.3,31.7,21.6,61.4,11.5,34.9,3.4,26.3,79.9,14.6,41.2,80.1,14.8,35.5,3.6,15.1
MI,Lansing,2646000,17.2,29.9,17.7,34.2,60.9,6.3,11.3,7.2,68.4,73.9,65.8,8.5,33.5,30.0,22.5,63.2,11.6,36.0,3.4,28.2,78.9,14.0,36.1,80.6,14.2,36.4,3.5,17.2
MI,Livonia,2649000,9.0,25.8,22.7,28.1,53.6,6.8,9.3,5.6,69.6,78.4,72.6,6.0,38.6,36.4,18.4,76.4,7.2,34.9,2.7,18.2,84.2,10.3,25.7,86.2,9.0,35.5,2.2,8.7
MI,Rochester Hills,2669035,8.6,24.3,21.0,27.0,56.0,6.6,9.1,5.2,70.8,79.8,72.0,5.1,35.9,38.6,14.1,77.8,7.2,33.1,2.7,17.3,82.0,9.4,24.7,85.4,8.4,34.1,2.1,8.1
MI,Southfield,2674900,13.1,28.3,16.5,37.8,63.3,6.2,11.5,6.0,76.6,79.8,69.0,6.3,29.3,31.7,17.6,66.8,12.1,32.7,3.6,23.6,83.8,11.8,36.7,86.1,11.3,43.5,3.5,13.1
